Energy Source,CO2-equivalent Emissions Per GWh (tonnes),Type
Wind,4,Renewable
Solar,5,Renewable
Oil,720,Fossil fuel
Nuclear,3,Non-renewable
Natural Gas,490,Fossil fuel
Hydro,34,Renewable 
Coal,820,Fossil fuel
Biomass,78,Non-renewable
